03/03/2016 19:43:15.381324 ./server:     Creating C150DgmSocket
03/03/2016 19:43:37.533775 ./server:     C150DgmSocket::write: Success writing packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:38.533914 ./server:     C150DgmSocket::read: successful read with len=511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:38.533975 ./server:     C150NastyDgmSocket::read: delivering packet of length 511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:38.534030 ./server:     Server received TRANSFER packet 281 for file romeo.txt

03/03/2016 19:43:38.538264 ./server:     C150DgmSocket::write: attempting to send packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:38.538375 ./server:     C150DgmSocket::write: Success writing packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:39.538864 ./server:     C150DgmSocket::read: successful read with len=511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:39.538930 ./server:     C150NastyDgmSocket::read: delivering packet of length 511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:39.538989 ./server:     Server received TRANSFER packet 282 for file romeo.txt

03/03/2016 19:43:39.542823 ./server:     C150DgmSocket::write: attempting to send packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:39.542933 ./server:     C150DgmSocket::write: Success writing packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:40.542878 ./server:     C150DgmSocket::read: successful read with len=511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:40.542943 ./server:     C150NastyDgmSocket::read: delivering packet of length 511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:40.543002 ./server:     Server received TRANSFER packet 283 for file romeo.txt

03/03/2016 19:43:40.551641 ./server:     C150DgmSocket::write: attempting to send packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:40.551778 ./server:     C150DgmSocket::write: Success writing packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:41.551779 ./server:     C150DgmSocket::read: successful read with len=511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:41.551872 ./server:     C150NastyDgmSocket::read: delivering packet of length 511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:41.551927 ./server:     Server received TRANSFER packet 284 for file romeo.txt

03/03/2016 19:43:41.556757 ./server:     C150DgmSocket::write: attempting to send packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:41.556867 ./server:     C150DgmSocket::write: Success writing packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:42.556884 ./server:     C150DgmSocket::read: successful read with len=511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:42.556947 ./server:     C150NastyDgmSocket::read: delivering packet of length 511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:42.557002 ./server:     Server received TRANSFER packet 285 for file romeo.txt

03/03/2016 19:43:42.560698 ./server:     C150DgmSocket::write: attempting to send packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
